1.txt, size: 379
2.txt, size: 109
3.txt, size: 102
4.txt, size: 357
5.txt, size: 68
6.txt, size: 338
7.txt, size: 333
8.txt, size: 167
9.txt, size: 124
10.txt, size: 203
11.txt, size: 315
12.txt, size: 139
13.txt, size: 427
14.txt, size: 352
15.txt, size: 375
16.txt, size: 208
17.txt, size: 65
18.txt, size: 376
19.txt, size: 240
20.txt, size: 41
21.txt, size: 244
22.txt, size: 288
23.txt, size: 442
24.txt, size: 370
25.txt, size: 190
26.txt, size: 146
27.txt, size: 426
28.txt, size: 192
29.txt, size: 319
30.txt, size: 189
31.txt, size: 256
32.txt, size: 9
33.txt, size: 133
34.txt, size: 327
35.txt, size: 292
36.txt, size: 353
37.txt, size: 124
38.txt, size: 348
39.txt, size: 33
40.txt, size: 305
41.txt, size: 149
42.txt, size: 186
43.txt, size: 136
44.txt, size: 225
45.txt, size: 122
46.txt, size: 190
47.txt, size: 278
48.txt, size: 205
49.txt, size: 38
50.txt, size: 318
51.txt, size: 240
52.txt, size: 366
53.txt, size: 348
54.txt, size: 255
55.txt, size: 57
56.txt, size: 351
57.txt, size: 453
58.txt, size: 455
59.txt, size: 352
60.txt, size: 254
61.txt, size: 257
62.txt, size: 457
63.txt, size: 467
64.txt, size: 401
65.txt, size: 13
66.txt, size: 11
67.txt, size: 482
68.txt, size: 365
69.txt, size: 91
70.txt, size: 47
71.txt, size: 246
72.txt, size: 78
73.txt, size: 183
74.txt, size: 72
75.txt, size: 231
76.txt, size: 186
77.txt, size: 271
78.txt, size: 472
79.txt, size: 204
80.txt, size: 298
81.txt, size: 386
82.txt, size: 292
83.txt, size: 259
84.txt, size: 249
85.txt, size: 279
86.txt, size: 297
87.txt, size: 241
88.txt, size: 378
89.txt, size: 446
90.txt, size: 322
91.txt, size: 428
92.txt, size: 343
93.txt, size: 86
94.txt, size: 123
95.txt, size: 71
96.txt, size: 73
97.txt, size: 342
98.txt, size: 477
99.txt, size: 431
100.txt, size: 292
